Name,Internal Name,Antigen,Company,Trials ▼,Patents,Papers,Seq,Activity by Year,symbol
AB011,nan,CLDN18,"Carsgen, Shanghai Cancer Inst.",1.0,3.0,,nan,,CLDN18
ADU-1604,nan,CTLA4,Aduro,1.0,3.0,,nan,,CTLA4
COM902   >>,nan,TIGIT,Compugen,1.0,25.0,2.0,nan,,TIGIT
TAK-164,nan,GCC,Millennium,1.0,,3.0,nan,,GUCY2C
BCD-135   ==,nan,PD-L1,Biocad,1.0,3.0,,nan,,CD274
opucolimab,"HLX20, HLX09",PD-L1,Henlix,1.0,1.0,,✓,,CD274
BCD-145,Q3W,CTLA4,Biocad,1.0,,,nan,,CTLA4
MBRC-101,nan,EphA5,"Los Alamos, MBrace Thera, Rutgers U.",1.0,8.0,1.0,nan,,EPHA5
Sym022,nan,LAG-3,Symphogen,1.0,8.0,,nan,,LAG3
TR1801-ADC,P3D12-vc-MMAF,cMet,Mitsubishi Tanabe,1.0,2.0,2.0,nan,,MET
ADCT-701,nan,DLK-1,ADC Therapeutics,1.0,2.0,1.0,nan,,DLK1
HPN424   ==,nan,CD3,Harpoon,1.0,7.0,,nan,,CD3E
HPN424   ==,nan,PSMA,Harpoon,1.0,7.0,,nan,,FOLH1
NI-1801,nan,CD47,NovImmune,1.0,4.0,1.0,nan,,CD47
NI-1801,nan,Mesothelin,NovImmune,1.0,4.0,1.0,nan,,MSLN
EDC-129,nan,CEACAM6,Singapore ASTR,1.0,9.0,,nan,,CEACAM6
CID-103,TSK011010,CD38,"Black Belt, CASI, Tusk",1.0,20.0,,nan,,CD38
REGN4659,nan,CTLA4,Regeneron,1.0,11.0,,nan,,CTLA4
BAY2287411,nan,Mesothelin,Bayer,1.0,,1.0,nan,,MSLN
lemzoparlimab,"TJ011133, TJC4",CD47,"Abbvie, I-Mab Biopharma",1.0,19.0,1.0,✓,,CD47
SC-007,nan,Undisclosed,"Abbvie, StemCentRx",1.0,,,nan,,nan
CB307   ==,nan,4-1BB,Crescendo,1.0,5.0,,nan,,TNFRSF9
CB307   ==,nan,PSMA,Crescendo,1.0,5.0,,nan,,FOLH1
IKS03   ==,LCB73,CD19,"Iksuda, LegoChem, NovImmune",1.0,6.0,,nan,,CD19
AMG 562,AMG562,CD19,Amgen,1.0,1.0,,nan,,CD19
AMG 562,AMG562,CD3,Amgen,1.0,1.0,,nan,,CD3E
OBI-888   >>   ==,OBI-999,Globo H,Obi Pharma,1.0,,1.0,nan,,B3GALT5
izeltabart tapatansine,"IMGC936, AEX6003",ADAM9,"ImmunoGen, MacroGenics",1.0,12.0,1.0,✓,,ADAM9
DS-6157,nan,GPR20,Daiichi Sankyo,1.0,8.0,2.0,nan,,GPR20
cudarolimab,"IBI-101, IBI101",OX40,Innovent,1.0,4.0,1.0,✓,,TNFRSF4
IBI319   <<,IBI-319,PD-1,"Innovent, Lilly",1.0,,,nan,,PDCD1
IBI319   <<,IBI-319,Undisclosed,"Innovent, Lilly",1.0,,,nan,,nan
IBI323,IBI-323,LAG-3,Innovent,1.0,4.0,,nan,,LAG3
IBI323,IBI-323,PD-L1,Innovent,1.0,4.0,,nan,,CD274
dilpacimab   ==,"PR-1283233, ABT-165",DLL4,Abbvie,1.0,3.0,,✓,,DLL4
dilpacimab   ==,"PR-1283233, ABT-165",VEGF-A,Abbvie,1.0,3.0,,✓,,VEGFA
CBS001,nan,LIGHT,Capella,1.0,6.0,,nan,,TNFSF14
ZL1201,ZL-1201,CD47,Zai Lab,1.0,4.0,,nan,,CD47
JBH492,nan,CCR7,Novartis,1.0,7.0,,nan,,CCR7
RG6194,BTRC4017A,HER2/neu,Genentech,1.0,,,nan,,ERBB2
RG6109,DCLL9718S,Undisclosed,Genentech,1.0,,,nan,,nan
RG6148,DHES0815A,HER2/neu,Genentech,1.0,,2.0,nan,,ERBB2
U.Virginia anti-Her2 / CD3,Her2Bi,CD3,U.Virginia,1.0,1.0,2.0,nan,,CD3E
U.Virginia anti-Her2 / CD3,Her2Bi,HER2/neu,U.Virginia,1.0,1.0,2.0,nan,,ERBB2
Pregene Bio anti-BCMA CAR,nan,BCMA,Pregene Bio,1.0,6.0,,nan,,TNFRSF17
JHL1149   ••,nan,VEGF-A,JHL Biotech,1.0,,,nan,,VEGFA
PF-06664178,nan,TACSTD-2,Pfizer,1.0,,1.0,nan,,TACSTD2
NJH395,nan,HER2/neu,Novartis,1.0,5.0,1.0,nan,,ERBB2
LY3415244,nan,PD-L1,"Lilly, Zymeworks",1.0,5.0,1.0,nan,,CD274
LY3415244,nan,TIM-3,"Lilly, Zymeworks",1.0,5.0,1.0,nan,,HAVCR2
MK-4830,nan,LILRB2,"Agenus, Merck (MSD)",1.0,14.0,1.0,nan,,LILRB2
RO7300490,212,CD40,Roche,1.0,13.0,1.0,nan,,CD40
RO7300490,212,FAP,Roche,1.0,13.0,1.0,nan,,FAP
JY028,nan,VEGF,nan,1.0,,,nan,,VEGFA
ADU-1805,nan,SIRPA,"Aduro, Sairopa",1.0,4.0,1.0,nan,,SIRPA
WVT078,nan,BCMA,Novartis,1.0,7.0,2.0,nan,,TNFRSF17
WVT078,nan,CD3,Novartis,1.0,7.0,2.0,nan,,CD3E
GR1405,nan,PD-L1,Genrix Biopharma,1.0,,,nan,,CD274
indemakitug,EI-001,IFN-γ,Elixiron,1.0,6.0,,✓,,IFNG
FPI-1434   <<,"FPI-1175, FPI-1547",IGF-1R,Fusion Pharma,1.0,,,nan,,IGF1R
izuralimab,"XmAb23104, XmAb104",ICOS,Xencor,1.0,7.0,,✓,,ICOS
izuralimab,"XmAb23104, XmAb104",PD-1,Xencor,1.0,7.0,,✓,,PDCD1
bavunalimab,"XmAb22841, pavunalimab",CTLA4,Xencor,1.0,3.0,,✓,,CTLA4
bavunalimab,"XmAb22841, pavunalimab",LAG-3,Xencor,1.0,3.0,,✓,,LAG3
AGEN1223,nan,Undisclosed,"Agenus, Gilead",1.0,,,nan,,nan
NZV930,nan,NT5E,"Novartis, Surface Oncology",1.0,12.0,,nan,,NT5E
CTX-471,CTX471,4-1BB,Compass,1.0,28.0,1.0,nan,,TNFRSF9
Shanghai Cell Therapy Res.Inst. patent anti-Mesothelin CAR,nan,Mesothelin,Shanghai Cell Therapy Res.Inst.,1.0,2.0,,nan,,MSLN
BAT0806,"BAT0807, BAT0808, BAT8003",TACSTD-2,Bio-Thera Solutions,1.0,6.0,,nan,,TACSTD2
CDX-527   ==,nan,CD27,Celldex,1.0,7.0,1.0,nan,,CD27
CDX-527   ==,nan,PD-L1,Celldex,1.0,7.0,1.0,nan,,CD274
FS120,nan,4-1BB,"f-star, Invox",1.0,3.0,2.0,nan,,TNFRSF9
FS120,nan,OX40,"f-star, Invox",1.0,3.0,2.0,nan,,TNFRSF4
CBA-1205,nan,DLK-1,Chiome,1.0,4.0,1.0,nan,,DLK1
FS222,nan,4-1BB,"f-star, Invox",1.0,3.0,1.0,nan,,TNFRSF9
FS222,nan,PD-L1,"f-star, Invox",1.0,3.0,1.0,nan,,CD274
BCD-147,BDC-147,HER2/neu,Biocad,1.0,1.0,,nan,,ERBB2
vixtimotamab,JNJ-67571244,CD3,"Genmab, Janssen Biotech",1.0,5.0,1.0,nan,,CD3E
vixtimotamab,JNJ-67571244,CD33,"Genmab, Janssen Biotech",1.0,5.0,1.0,nan,,CD33
LYN00101,nan,VEGF,Lynkcell,1.0,,,nan,,VEGFA
TRS003   ••,nan,VEGF-A,Zhejiang Teruisi,1.0,,,nan,,VEGFA
Zutrab   ••,nan,VEGF-A,Laboratorios Richmond,1.0,,,nan,,VEGFA
F0002-ADC,CD30-MCC-DM1,CD30,Shanghai Fudan-Zhangjiang Bio,1.0,2.0,1.0,nan,,TNFRSF8
B003   ==,nan,HER2/neu,Shanghai Pharma Holdings,1.0,,,nan,,ERBB2
City of Hope patent anti-CD19 CAR,nan,CD19,City of Hope,1.0,2.0,,nan,,CD19
INA03,nan,TfR,Inatherys,1.0,,1.0,nan,,TFRC
PF-06835375,nan,CXCR5,"Pfizer, U.California",1.0,6.0,1.0,nan,,CXCR5
Sunshine Guojian 304   ••,nan,CD20,Sunshine Guojian Pharma,1.0,,,nan,,MS4A1
Asclepius Technology patent anti-Robo1 CAR,nan,Robo1,Asclepius Technology,1.0,7.0,,nan,,ROBO1
PY314,nan,TREM-2,"Gilead, Pionyr",1.0,10.0,2.0,nan,,TREM2
AMG 119,nan,DLL3,Amgen,1.0,4.0,1.0,nan,,DLL3
serclutamab talirine   ==,"ABBV-321, PR1594407",EGFR,nan,1.0,,1.0,✓,,EGFR
RO7283420,nan,CD3,Roche,1.0,7.0,2.0,nan,,CD3E
RO7283420,nan,WT1,Roche,1.0,7.0,2.0,nan,,WT1
City of Hope IL-13Ra2 CAR,nan,IL-13Rα2,City of Hope,1.0,1.0,,nan,,IL13RA2
ispectamab debotansine,CC-99712,BCMA,Celgene,1.0,9.0,,nan,,TNFRSF17
AMG 199,AMG199,CD3,Amgen,1.0,3.0,,nan,,CD3E
AMG 199,AMG199,MUC17,Amgen,1.0,3.0,,nan,,MUC17
MIL93,nan,CLDN18,Beijing Mabworks,1.0,2.0,,nan,,CLDN18
casdozokitug,SRF388,IL-27,"Adimab, Surface Oncology",1.0,17.0,,✓,,IL27
HMBD-002,nan,B7-H5,Hummingbird Bio,1.0,6.0,,nan,,VSIR
KN044,nan,CTLA4,Changchun Intelli-Crown,1.0,,,nan,,CTLA4
luvagrobart,AK115,NGF,Akeso,1.0,5.0,,✓,,NGF
BAY2701439,BAY2701438,HER2/neu,Bayer,1.0,,,nan,,ERBB2
GFB-024,nan,CB1,"Goldfinch, Takeda",1.0,4.0,,nan,,CNR1
PT217   <<,nan,CD47,Phanes Thera,1.0,6.0,,nan,,CD47
PT217   <<,nan,DLL3,Phanes Thera,1.0,6.0,,nan,,DLL3
HLX55,nan,cMet,Henlix,1.0,,,nan,,MET
GB222,nan,EGFR,Genor,1.0,,1.0,nan,,EGFR
GB223,nan,RANKL,Genor,1.0,,1.0,nan,,TNFSF11
LM-102,nan,CLDN18,"Bridge Health, Lanova",1.0,14.0,,nan,,CLDN18
cabotamig   <<,ARB202,Cadherin-17,Arbele,1.0,4.0,,✓,,CDH17
cabotamig   <<,ARB202,CD3,Arbele,1.0,4.0,,✓,,CD3E
ciduvectamig   <<,JNJ-70218902,CD3,Janssen Biotech,1.0,7.0,1.0,nan,,CD3E
ciduvectamig   <<,JNJ-70218902,TMEFF2,Janssen Biotech,1.0,7.0,1.0,nan,,TMEFF2
CS5001   ==,nan,ROR1,"ABL Bio, CStone Pharma, LegoChem",1.0,9.0,,nan,,ROR1
BI764532,BI 764532,CD3,Boehringer,1.0,1.0,2.0,nan,,CD3E
BI764532,BI 764532,DLL3,Boehringer,1.0,1.0,2.0,nan,,DLL3
KIN-1901,nan,Undisclosed,Kinevant,1.0,,,nan,,nan
REGN9533,nan,Factor XII,Regeneron,1.0,4.0,,nan,,F12
SIBP-03,nan,HER3,Shanghai Inst.Bio. Products,1.0,3.0,1.0,nan,,ERBB3
SHR-1707,nan,Amyloid beta,"Atridia, Jiangsu Hengrui",1.0,3.0,1.0,nan,,APP
alextatug,ATRC-101,PABPC1,Atreca,1.0,2.0,1.0,✓,,PABPC1
gresonitamab,"AMG 910, AMG910",CD3,Amgen,1.0,4.0,1.0,✓,,CD3E
gresonitamab,"AMG 910, AMG910",CLDN18,Amgen,1.0,4.0,1.0,✓,,CLDN18
pertuzumab zuvotolimod,SBT6050,HER2/neu,Silverback,1.0,2.0,,nan,,ERBB2
TTX-080,nan,HLA-G,Tizona,1.0,8.0,,nan,,HLA-G
SAR442257,nan,CD28,Sanofi,1.0,11.0,2.0,nan,,CD28
SAR442257,nan,CD3,Sanofi,1.0,11.0,2.0,nan,,CD3E
SAR442257,nan,CD38,Sanofi,1.0,11.0,2.0,nan,,CD38
HS632   ••,nan,IgE,Zhejiang Hisun,1.0,,,nan,,nan
B002   ==,nan,HER2/neu,Shanghai Pharma Holdings,1.0,,,nan,,ERBB2
VP301,18E4x11F2,CD38,"U.California, Virtuoso",1.0,5.0,1.0,nan,,CD38
VP301,18E4x11F2,ICAM-1,"U.California, Virtuoso",1.0,5.0,1.0,nan,,ICAM1
ragistomig   ==,"ABL503, TJ-L14B",4-1BB,"ABL Bio, I-Mab Biopharma",1.0,5.0,1.0,✓,,TNFRSF9
ragistomig   ==,"ABL503, TJ-L14B",PD-L1,"ABL Bio, I-Mab Biopharma",1.0,5.0,1.0,✓,,CD274
denikitug,"JTX-1811, GS-1811",CCR8,"Gilead, Jounce",1.0,7.0,,nan,,CCR8
LY3475766,nan,ANGPTL3,Lilly,1.0,10.0,2.0,nan,,ANGPTL3
LY3475766,nan,ANGPTL8,Lilly,1.0,10.0,2.0,nan,,ANGPTL8
CAP-100,nan,CCR7,Catapult,1.0,4.0,2.0,nan,,CCR7
REGN5837,nan,CD22,Regeneron,1.0,6.0,1.0,nan,,CD22
REGN5837,nan,CD28,Regeneron,1.0,6.0,1.0,nan,,CD28
Hu8F4,nan,HLA-A2,"Astellas, MD Anderson",1.0,,1.0,nan,,HLA-A
GQ1001,nan,HER2/neu,GeneQuantum,1.0,3.0,1.0,nan,,ERBB2
SPX-101   >>,nan,CLDN18,Sparx,1.0,3.0,,nan,,CLDN18
SKB315,MK-1200,CLDN18,"Merck (MSD), Sichuan Kelun Pharma",1.0,6.0,,nan,,CLDN18
TUR01   ••,nan,TNF-alpha,Turgut Ilaclari,1.0,,,nan,,TNF
NI006,"ALXN2220, NI-301",Transthyretin,"Alexion, Neurimmune",1.0,14.0,5.0,nan,,TTR
AMG 256,nan,PD-L1,Amgen,1.0,1.0,,nan,,CD274
MSB0254,nan,VEGFR-2,Mabspace,1.0,,1.0,nan,,KDR
SAR442085,nan,CD38,Sanofi,1.0,,2.0,nan,,CD38
GIGA-564,nan,CTLA4,GigaGen,1.0,2.0,,nan,,CTLA4
MW11,nan,PD-1,Mabwell,1.0,3.0,,nan,,PDCD1
PF-06804103,nan,HER2/neu,Pfizer,1.0,3.0,2.0,nan,,ERBB2
ZM008,nan,LLT1,Zumutor,1.0,4.0,,nan,,CLEC2D
MK-1248,nan,GITR,Merck (MSD),1.0,,1.0,nan,,TNFRSF18
JS014,nan,Serum Albumin,"Anwita Bio, Shanghai Junshi",1.0,3.0,,nan,,ALB
M1231,nan,EGFR,"Merck Serono, Sutro",1.0,3.0,,nan,,EGFR
M1231,nan,MUC1,"Merck Serono, Sutro",1.0,3.0,,nan,,MUC1
GNR-051,nan,PD-1,IBC Generium,1.0,,,nan,,PDCD1
XmAb819,XmAb30819,CD3,Xencor,1.0,4.0,,nan,,CD3E
XmAb819,XmAb30819,ENPP3,Xencor,1.0,4.0,,nan,,ENPP3
AK109,nan,VEGFR-2,Akeso,1.0,1.0,1.0,nan,,KDR
AP505,nan,PD-L1,AP Bio,1.0,3.0,,nan,,CD274
AP505,nan,VEGF,AP Bio,1.0,3.0,,nan,,VEGFA
AMG 340,TNB-585,CD3,"Amgen, TeneoBio",1.0,5.0,,nan,,CD3E
AMG 340,TNB-585,PSMA,"Amgen, TeneoBio",1.0,5.0,,nan,,FOLH1
IBC-Ab002,nan,PD-L1,"ImmunoBrain, Yeda R&D",1.0,8.0,,nan,,CD274
ALTB-268   <<,"AbGn-268, Leiolizumab",PSGL-1,AltruBio,1.0,6.0,,nan,,SELPLG
barecetamab,ISU104,HER3,Isu Abxis,1.0,3.0,2.0,✓,,ERBB3
emerfetamab   ==,"AMG 673, AMG673",CD3,Amgen,1.0,,,✓,,CD3E
emerfetamab   ==,"AMG 673, AMG673",CD33,Amgen,1.0,,,✓,,CD33
PNT001,nan,Tau,Pinteon,1.0,3.0,,nan,,MAPT
Q-1802,nan,CLDN18,QureBio,1.0,2.0,1.0,nan,,CLDN18
Q-1802,nan,PD-L1,QureBio,1.0,2.0,1.0,nan,,CD274
IASO-782,RD126,CD19,Iaso,1.0,2.0,,nan,,CD19
PersonGen anti-BCMA CAR,nan,BCMA,PersonGen,1.0,,,nan,,TNFRSF17
MIL95,nan,Undisclosed,Beijing Mabworks,1.0,,,nan,,nan
NM-02,nan,HER2/neu,Suzhou Nanomab,1.0,1.0,1.0,nan,,ERBB2
ansipastobart,"ansipastobartcancer, BR101",NT5E,"Bioray Pharma, Zhejiang Hisun",1.0,1.0,,✓,,NT5E
TLX592,nan,PSMA,Telix,1.0,2.0,,nan,,FOLH1
EX103,nan,CD20,Guangzhou Excelmab,1.0,2.0,,nan,,MS4A1
EX103,nan,CD3,Guangzhou Excelmab,1.0,2.0,,nan,,CD3E
TAVO101,nan,TSLP,Tavotek,1.0,2.0,1.0,nan,,TSLP
BND-35,nan,LILRB4,Biond,1.0,3.0,,nan,,LILRB4
ADEL-Y01,nan,Tau,Adel,1.0,4.0,,nan,,MAPT
SOL-116,nan,BSSL,Lipum,1.0,3.0,,nan,,CEL
MYTX-011,nan,cMet,Mythic Thera,1.0,8.0,2.0,nan,,MET
SIM1811-03,nan,TNFR2,Jiangsu Simcere,1.0,4.0,,nan,,TNFRSF1B
givastomig,"ABL111, TJ033721, TJ-CD4B",4-1BB,"ABL Bio, I-Mab Biopharma",1.0,4.0,,nan,,TNFRSF9
givastomig,"ABL111, TJ033721, TJ-CD4B",CLDN18,"ABL Bio, I-Mab Biopharma",1.0,4.0,,nan,,CLDN18
Y101D,YM101,PD-L1,Wuhan YZY Biopharma,1.0,,5.0,nan,,CD274
Y101D,YM101,TGF-β,Wuhan YZY Biopharma,1.0,,5.0,nan,,TGFB1
PSB102,nan,CD20,Sound Biologics,1.0,2.0,,nan,,MS4A1
PSB107,nan,CD37,Sound Biologics,1.0,1.0,,nan,,CD37
Remegen RC98,nan,PD-L1,RemeGen,1.0,2.0,1.0,nan,,CD274
eurestobart,"ES002, ES002023",CD39,Elpiscience,1.0,3.0,,nan,,ENTPD1
BSI-045B,nan,TSLP,Biosion,1.0,2.0,,nan,,TSLP
LCAR-C18S,nan,CLDN18,"Genscript, Nanjing Legend Bio",1.0,6.0,,nan,,CLDN18
JS108,nan,TACSTD-2,Shanghai Junshi,1.0,,,nan,,TACSTD2
ralzapastotug   ==,AB308,TIGIT,Arcus,1.0,,,✓,,TIGIT
FAZ053,nan,PD-L1,"Laekna, Novartis",1.0,2.0,1.0,nan,,CD274
NG004,nan,Nogo-A,NovaGo,1.0,2.0,,nan,,RTN4
PF-07257876,nan,CD47,Pfizer,1.0,5.0,2.0,nan,,CD47
PF-07257876,nan,PD-L1,Pfizer,1.0,5.0,2.0,nan,,CD274
CA9hu-1,nan,CAIX,Mabpro,1.0,4.0,,nan,,CA9
BMS-986442,AGEN1777,CD96,"Agenus, BMS",1.0,,,nan,,CD96
BMS-986442,AGEN1777,TIGIT,"Agenus, BMS",1.0,,,nan,,TIGIT
Swiss Biopharma Med sB24,nan,CD47,Swiss Biopharma Med GmbH,1.0,,,nan,,CD47
garetatug rezetecan,SHR-A1904,CLDN18,Shanghai Hengrui,1.0,,1.0,✓,,CLDN18
CMAB818   ••,nan,VEGF-A,BioMab,1.0,,,nan,,VEGFA
BAT4706,nan,CTLA4,Bio-Thera Solutions,1.0,4.0,,nan,,CTLA4
nuvustotug,HFB301001,OX40,"HiFiBio, Nankai U.",1.0,4.0,,✓,,TNFRSF4
QLS31901,nan,PD-L1,Qilu Pharma,1.0,,,nan,,CD274
QLS31901,nan,TGF-β,Qilu Pharma,1.0,,,nan,,TGFB1
uprevstobart,INCA00186,NT5E,Incyte,1.0,9.0,,✓,,NT5E
TST005,nan,CLDN18,Transcenta,1.0,,,nan,,CLDN18
TST005,nan,TGF-β,Transcenta,1.0,,,nan,,TGFB1
emunkitug,HFB200301,TNFR2,HiFiBio,1.0,4.0,,✓,,TNFRSF1B
JNJ-78306358,nan,CD3,Janssen Biotech,1.0,3.0,2.0,nan,,CD3E
JNJ-78306358,nan,HLA-G,Janssen Biotech,1.0,3.0,2.0,nan,,HLA-G
IPH4502,nan,Nectin-4,Innate,1.0,4.0,,nan,,NECTIN4
iparomlimab,nan,PD-1,Sound Biologics,1.0,,1.0,✓,,PDCD1
IO-108,nan,LILRB2,"Immune-Onc, U.Texas",1.0,9.0,1.0,nan,,LILRB2
ABL501,ABL 501,LAG-3,ABL Bio,1.0,2.0,1.0,nan,,LAG3
ABL501,ABL 501,PD-L1,ABL Bio,1.0,2.0,1.0,nan,,CD274
JNJ-67484703,nan,Undisclosed,Janssen Biotech,1.0,,,nan,,nan
Y150,nan,CD3,Wuhan YZY Biopharma,1.0,,,nan,,CD3E
Y150,nan,CD38,Wuhan YZY Biopharma,1.0,,,nan,,CD38
SAR443216,nan,CD28,Sanofi,1.0,,1.0,nan,,CD28
SAR443216,nan,CD3,Sanofi,1.0,,1.0,nan,,CD3E
SAR443216,nan,HER2/neu,Sanofi,1.0,,1.0,nan,,ERBB2
AMT-151,nan,FRA,Multitude,1.0,2.0,,nan,,FOSL1
HOT-1030,nan,4-1BB,Huabo Biopharm,1.0,,,nan,,TNFRSF9
STI-3258,nan,TACSTD-2,Sorrento,1.0,,,nan,,TACSTD2
WM-A1-3389,nan,IGSF1,Wellmarker,1.0,5.0,,nan,,IGSF1
Y-mAbs anti-CD33 / CD3,nan,CD3,Y-mAbs,1.0,,,nan,,CD3E
Y-mAbs anti-CD33 / CD3,nan,CD33,Y-mAbs,1.0,,,nan,,CD33
AK131,nan,NT5E,Akeso,1.0,2.0,,nan,,NT5E
AK131,nan,PD-1,Akeso,1.0,2.0,,nan,,PDCD1
TORL-1-23,nan,CLDN6,TORL Bio,1.0,,,nan,,CLDN6
CAN10   ==,nan,IL-1RAP,Cantargia,1.0,,,nan,,IL1RAP
BAT6021   ==,nan,TIGIT,Bio-Thera Solutions,1.0,3.0,,nan,,TIGIT
IGM-2644,nan,CD3,IGM Bio,1.0,1.0,,nan,,CD3E
IGM-2644,nan,CD38,IGM Bio,1.0,1.0,,nan,,CD38
BAT6005   ==,nan,TIGIT,Bio-Thera Solutions,1.0,3.0,,nan,,TIGIT
SSGJ-706,nan,PD-1,Sunshine Guojian Pharma,1.0,5.0,,nan,,PDCD1
SSGJ-706,nan,PD-L1,Sunshine Guojian Pharma,1.0,5.0,,nan,,CD274
HB0030,nan,TIGIT,"Huabo Biopharm, Shanghai Huaota",1.0,4.0,,nan,,TIGIT
NC525,nan,LAIR1,NextCure,1.0,5.0,,nan,,LAIR1
BNA035,nan,4-1BB,Binacea,1.0,,,nan,,TNFRSF9
BNA035,nan,EGFR,Binacea,1.0,,,nan,,EGFR
DCBY02,nan,CD93,Dynamicure Biotechnology LLC,1.0,6.0,,nan,,CD93
BAY3375968,TPP-23411,CCR8,Bayer,1.0,12.0,,nan,,CCR8
FDA018-ADC,nan,TACSTD-2,Shanghai Fudan-Zhangjiang Bio,1.0,,1.0,nan,,TACSTD2
CLN-418,HBM7008,4-1BB,"Cullinan Oncology, Harbour Biomed Ltd.",1.0,2.0,,nan,,TNFRSF9
CLN-418,HBM7008,B7-H4,"Cullinan Oncology, Harbour Biomed Ltd.",1.0,2.0,,nan,,VTCN1
JYB1904   <<,nan,IgE,Jemincare,1.0,2.0,,nan,,nan
JS007,nan,CTLA4,Shanghai Junshi,1.0,3.0,2.0,nan,,CTLA4
Gentulizumab,GenSci059,CD47,GeneScience,1.0,,1.0,nan,,CD47
PUR001,nan,CD39,Purinomia,1.0,,,nan,,ENTPD1
SGN-ALPV,nan,Undisclosed,Seattle Genetics,1.0,,,nan,,nan
XmAb808,nan,B7-H3,Xencor,1.0,6.0,1.0,nan,,CD276
XmAb808,nan,CD28,Xencor,1.0,6.0,1.0,nan,,CD28
ABL103,nan,4-1BB,ABL Bio,1.0,2.0,,nan,,TNFRSF9
ABL103,nan,B7-H4,ABL Bio,1.0,2.0,,nan,,VTCN1
EMB-09,nan,OX40,EpimAb,1.0,1.0,1.0,nan,,TNFRSF4
EMB-09,nan,PD-L1,EpimAb,1.0,1.0,1.0,nan,,CD274
EMB-07,nan,CD3,EpimAb,1.0,2.0,,nan,,CD3E
EMB-07,nan,ROR1,EpimAb,1.0,2.0,,nan,,ROR1
SG2501,nan,CD38,Hangzhou Sumgen Biotech,1.0,,,nan,,CD38
SG2501,nan,CD47,Hangzhou Sumgen Biotech,1.0,,,nan,,CD47
IBI-389   ==,IBI389,CD3,Innovent,1.0,3.0,,nan,,CD3E
IBI-389   ==,IBI389,CLDN18,Innovent,1.0,3.0,,nan,,CLDN18
inezetamab,AMG-994,CD40,Amgen,1.0,4.0,,✓,,CD40
inezetamab,AMG-994,Mesothelin,Amgen,1.0,4.0,,✓,,MSLN
KM257,nan,Undisclosed,Xuanzhu Bio,1.0,,,nan,,nan
HS627   ••,nan,HER2/neu,Zhejiang Hisun,1.0,,,nan,,ERBB2
BYON3521,nan,cMet,Byondis,1.0,2.0,1.0,nan,,MET
AMG 794,AMG794,CLDN6,Amgen,1.0,,,nan,,CLDN6
AGEN1571,nan,LILRB1,Agenus,1.0,3.0,,nan,,LILRB1
HBT-708,nan,PD-1,Sunshine Guojian Pharma,1.0,1.0,,nan,,PDCD1
HBT-708,nan,TGF-β,Sunshine Guojian Pharma,1.0,1.0,,nan,,TGFB1
SSGJ-709,nan,LAG-3,"Shenyang Sunshine Pharma, Sunshine Guojian Pharma",1.0,1.0,,nan,,LAG3
SSGJ-709,nan,PD-1,"Shenyang Sunshine Pharma, Sunshine Guojian Pharma",1.0,1.0,,nan,,PDCD1
meperizumab,nan,Undisclosed,Chia Tai Tianqing Pharma,1.0,,,nan,,nan
BAT8006,nan,FRA,Bio-Thera Solutions,1.0,2.0,,nan,,FOSL1
ES014,nan,CD39,Elpiscience,1.0,,,nan,,ENTPD1
PIT565,nan,Undisclosed,Novartis,1.0,,,nan,,nan
BAT8009,nan,B7-H3,Bio-Thera Solutions,1.0,2.0,,nan,,CD276
ADL-018   ••,nan,IgE,Kashiv Bio,1.0,,,nan,,nan
HLX6018,nan,GARP,"Shanghai Aosaiersi, Shanghai Henlius",1.0,2.0,,nan,,LRRC32
HLX6018,nan,TGF-β,"Shanghai Aosaiersi, Shanghai Henlius",1.0,2.0,,nan,,TGFB1
NAV-240,IMB-101,OX40L,"IMBiologics , Y-Biologics",1.0,2.0,,nan,,TNFSF4
NAV-240,IMB-101,TNF-alpha,"IMBiologics , Y-Biologics",1.0,2.0,,nan,,TNF
HB0043   <<,nan,IL-17,"Shanghai Aosaiersi, Shanghai Huaota",1.0,2.0,1.0,nan,,IL17A
HB0043   <<,nan,IL1RL2,"Shanghai Aosaiersi, Shanghai Huaota",1.0,2.0,1.0,nan,,IL1RL2
FZ-AD004,nan,TACSTD-2,Shanghai Fudan-Zhangjiang Bio,1.0,3.0,,nan,,TACSTD2
NM26-2198   <<,nan,IL-31,Numab,1.0,1.0,1.0,nan,,IL31
NM26-2198   <<,nan,IL-4Rα,Numab,1.0,1.0,1.0,nan,,IL4R
emiltatug ledadotin,XMT-1660,B7-H4,Mersana,1.0,6.0,1.0,nan,,VTCN1
QLS31904,nan,CD3,Qilu Pharma,1.0,,,nan,,CD3E
QLS31904,nan,DLL3,Qilu Pharma,1.0,,,nan,,DLL3
BHV-1530,"AMB302, AMB-302, GR1017",FGFR3,"Aimedbio, Biohaven",1.0,2.0,,nan,,FGFR3
PT886,nan,CD47,Phanes Thera,1.0,2.0,,nan,,CD47
PT886,nan,CLDN18,Phanes Thera,1.0,2.0,,nan,,CLDN18
XMT-2056,nan,HER2/neu,"GSK, Mersana",1.0,,1.0,nan,,ERBB2
NM32-2668,nan,CD3,Numab,1.0,2.0,,nan,,CD3E
NM32-2668,nan,ROR1,Numab,1.0,2.0,,nan,,ROR1
NM32-2668,nan,Serum Albumin,Numab,1.0,2.0,,nan,,ALB
